,link,legislatura,date,type
124,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_125.PDF,III,1988-06-22,diaro de sesiones
125,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_126.PDF,III,1988-06-23,diaro de sesiones
126,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_127.PDF,III,1988-06-28,diaro de sesiones
127,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_128.PDF,III,1988-06-29,diaro de sesiones
128,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_129.PDF,III,1988-06-30,diaro de sesiones
129,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_130.PDF,III,1988-07-20,diaro de sesiones
130,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_131.PDF,III,1988-09-20,diaro de sesiones
131,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_132.PDF,III,1988-09-21,diaro de sesiones
132,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_133.PDF,III,1988-09-22,diaro de sesiones
133,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_134.PDF,III,1988-09-27,diaro de sesiones
134,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_135.PDF,III,1988-09-28,diaro de sesiones
135,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_136.PDF,III,1988-09-29,diaro de sesiones
136,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_137.PDF,III,1988-10-04,diaro de sesiones
137,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_138.PDF,III,1988-10-18,diaro de sesiones
138,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_139.PDF,III,1988-10-18,diaro de sesiones
139,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_140.PDF,III,1988-10-19,diaro de sesiones
140,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_141.PDF,III,1988-10-20,diaro de sesiones
141,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_142.PDF,III,1988-10-25,diaro de sesiones
142,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_143.PDF,III,1988-10-26,diaro de sesiones
143,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_144.PDF,III,1988-10-27,diaro de sesiones
144,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_145.PDF,III,1988-11-10,diaro de sesiones
145,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_146.PDF,III,1988-11-11,diaro de sesiones
146,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_147.PDF,III,1988-11-16,diaro de sesiones
147,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_148.PDF,III,1988-11-17,diaro de sesiones
148,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_149.PDF,III,1988-11-21,diaro de sesiones
149,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_150.PDF,III,1988-11-22,diaro de sesiones
150,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_151.PDF,III,1988-11-23,diaro de sesiones
151,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_152.PDF,III,1988-11-24,diaro de sesiones
152,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_153.PDF,III,1988-11-25,diaro de sesiones
153,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_154.PDF,III,1988-11-29,diaro de sesiones
154,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_155.PDF,III,1988-11-30,diaro de sesiones
155,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_156.PDF,III,1988-12-01,diaro de sesiones
156,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_157.PDF,III,1988-12-06,diaro de sesiones
157,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_158.PDF,III,1988-12-13,diaro de sesiones
158,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_159.PDF,III,1988-12-14,diaro de sesiones
